Date,"Quanta Services, Inc. _FT_Title","Quanta Services, Inc. _FT_Subtitle",titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTScore,Subtitles_finBERTLabel,"Quanta Services, Inc. _FT_Title_GPT","Quanta Services, Inc. _FT_Subtitle_GPT"
2023-07-03T10:32:24+0000,FirstFT: Apple forced to slash Vision Pro headset production target,"...Tesla delivered 466,000 vehicles between April and June, a record number for the second quarter....",Negative,0.8364464044570923,1.0,Positive, Neutral, Positive
2023-06-18T11:00:42+0000,GM tries to catch Tesla by following its supply chain playbook,"...That is about three and a half times what Tesla has in North America.

If GM can carry out its plans, “they can probably catch up and surpass Tesla’s North American volumes”, Abuelsamid said....",Neutral,0.9985466599464417,0.5100465416908264,Neutral, Neutral, Positive
2023-04-02T17:39:47+0000,Tesla rolls out record number of new cars in first quarter,"...At Tesla’s investor day in early March, Musk said: “The desire for people to own a Tesla is extremely high. The limiting factor is their ability to pay for a Tesla.”...",Positive,0.9999996423721312,0.6914960741996765,Neutral, Positive, Positive
2023-03-28T04:00:38+0000,"Tesla cars lose value faster than rival models after price cuts, data shows",...Tesla declined to comment on the resale data....,Negative,0.9999258518218994,0.9946133494377136,Neutral, negative, negative
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-05-26T06:25:04+0000,FTAV’s further reading,"...Germany’s Handelsblatt has gotten its hands on 100gb of internal data from Tesla insiders (Handelsblatt)

— Get Ready for Team America: AI Police (The Register)

— How some people get away with doing nothing...",Neutral,0.999839186668396,0.9998377561569214,Neutral, Neutral, Neutral
2023-03-06T16:27:17+0000,Tesla enacts second price cut of 2023 to boost demand,"...Tesla cut the prices of its most expensive models in the US for a second time this year, further reversing steep price increases that had contributed to a tumble in demand late last year....",Positive,0.9999992847442628,0.9999979734420776,Negative, positive, Neutral
2023-05-07T04:00:08+0000,Will a price war accelerate the switch to electric cars?,...Tesla has now promised to go even further....,Neutral,0.518211841583252,0.9888413548469543,Neutral, Neutral, Positive
2023-03-10T00:00:14+0000,Letter: Musk’s delight and Tesla’s demand may be shortlived,"...Elon Musk remarked that “we weren’t sure about what the price elasticity of demand was for Tesla” (“Tesla sets out to widen its reach with cheaper car”, Report, March 3)....",Negative,0.7175676226615906,0.999685764312744,Neutral, Neutral,"

positive"
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-02-28T15:11:45+0000,Mexico’s president says Tesla to build new factory in Monterrey,"...He said Tesla would give more detail on the plant tomorrow when it holds its investor day.

“It’s good news, yes, the company Tesla is coming,” López Obrador said....",Neutral,0.999946355819702,0.901842713356018,Positive, Neutral, Positive
2023-02-17T10:30:37+0000,Index funds now own more of Tesla than Musk,"...(Astute readers will now understand why we’ve been checking Tesla’s shareholder registry so frequently of late.)

Some caveats....",Neutral,0.9997974038124084,0.9997959733009338,Neutral, positive, Neutral
2023-02-17T01:00:59+0000,Letter: Musk price cuts damage Tesla’s ‘exclusivity’ claims,"...With marques including Porsche, Audi and even Kia offering products that rival and even surpass Tesla in terms of performance and range, Tesla would do well to position itself as the Apple of the automotive...",Negative,0.9389768838882446,1.0,Positive, Neutral, Neutral
2023-03-06T18:18:42+0000,Tesla cuts prices of some electric vehicles for a second time,"...Tom Zhu, head of Tesla China and the executive responsible for the company’s global manufacturing plants, also said the price cuts had led to an increase in market share in China, where Tesla has faced a...",Neutral,0.723029375076294,0.9998708963394164,Positive, Neutral, Positive
2023-02-28T04:53:14+0000,Tesla boosts South Korean battery company with $2.9bn cathode order,"...Shares of L&F, a South Korean battery material producer, jumped 8 per cent on Tuesday afternoon, buoyed by its $2.9bn order from Tesla and its affiliates to supply cathode materials, a component for electric...",Positive,0.9999998807907104,0.9999992847442628,Positive, Positive, Positive
2023-03-02T01:56:15+0000,Tesla touts cost efficiencies as it gears up for more affordable models,...Read more about Tesla’s investor day here....,Positive,0.9999997615814208,0.9999871253967284,Neutral, Neutral, Neutral
2023-02-16T23:18:36+0000,"Tesla self-driving glitch leads to 363,000 vehicle recalls","...Tesla is recalling nearly 363,000 vehicles because flaws in the beta version of its full self-driving software could cause crashes, according to a government regulator....",Neutral,0.563816249370575,0.9997915625572203,Negative, negative, Positive
2023-02-16T19:03:43+0000,"Tesla self-driving glitch leads to 363,000 vehicle recalls","...Tesla is recalling nearly 363,000 vehicles because flaws in the beta version of its full self-driving software could cause crashes, according to a government regulator....",Neutral,0.563816249370575,0.9997915625572203,Negative, negative, Positive
2023-03-05T20:23:17+0000,Economics class: Tesla touts cost efficiencies as it gears up for more affordable model,"...cost efficiencies as it gears up for more affordable model

Tesla plans to produce a new, large-volume vehicle at a new facility in Mexico....",Positive,0.9999985694885254,0.9996429681777954,Positive, Neutral, Neutral
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-07-03T21:42:24+0000,FirstFT: Electric vehicle shares in overdrive after strong volume data,...Sales increased after Tesla cut prices in January and March....,Positive,0.6144680976867676,0.9998788833618164,Positive, positive, Positive
2023-03-29T04:47:54+0000,Tesla’s price war in China backfires as BYD sales surge,"...In the first two months of the year, the Shenzhen-based group sold more than five times the number of units that Tesla did in China....",Negative,0.7101892828941345,0.9986069798469543,Neutral, Neutral, Positive
2023-04-09T13:11:27+0000,Tesla boosts China investment with plans for Shanghai battery factory,...Tesla said products produced at its battery plant would be sold worldwide....,Positive,0.9999995231628418,0.9999994039535522,Neutral, Positive, Positive
2023-03-02T14:59:56+0000,Tesla touts cost efficiencies as it gears up for more affordable model,...Chief executive Elon Musk said “affordability” was the biggest barrier to Tesla reaching a far bigger market....,Positive,0.9999995231628418,0.9492935538291932,Neutral, Neutral, Neutral
2023-02-09T14:50:23+0000,Tesla: resilient carmaker gives shorts $7bn headache Premium content,...Tesla has reclaimed its spot as the most shorted large stock on the US market....,Positive,0.9999256134033204,0.997732162475586,Neutral, positive, Positive
2023-02-15T13:51:27+0000,Tesla to open some chargers in US to EVs from other automakers,"...Drivers will be able to access the open charging stations via the Tesla app or website.

Tesla will also more than double its overall national charging network, the White House added....",Neutral,0.9999516010284424,0.9995416402816772,Positive, positive,"

The sentiment in this newsheadline is positive because Tesla will be more accessible than before."
2023-02-16T09:49:03+0000,Has Natixis made $17bn gain on a huge Tesla bet? (No),"...In fact, Natixis only currently holds 1.64mn shares, or about 0.05 per cent of Tesla. Whoops!...",Neutral,0.9980887770652772,0.9999992847442628,Neutral, No, negative
2023-01-18T05:14:32+0000,A turning point for Tesla?,"...So that’s what the Tesla critics say. But Tesla fans would have something else to say about this, right?...",Neutral,0.999492645263672,0.9997937083244324,Neutral, Neutral,"

positive"
2023-02-28T11:54:02+0000,Tesla suppliers: L&F’s $2.9bn order is a down payment on resilience Premium content,...Please tell us what you think of Tesla’s supply diversification strategy in the comments section below....,Neutral,0.9901202917099,0.99998939037323,Neutral, positive, Neutral
2023-04-28T03:17:34+0000,Tesla rival BYD’s profit soars more than 400% in first quarter,...Elon Musk’s Tesla ranked second with around 11 per cent of the EV market following year-on-year sales growth of 27 per cent....,Positive,0.9999997615814208,0.9518170356750488,Positive, Positive, Neutral
2023-02-03T23:08:41+0000,Elon Musk wins investor lawsuit over Tesla ‘funding secured’ tweet,...The case centred on his August 7 2018 tweet declaring he was considering taking Tesla private at $420 a share and had funding secured to do so....,Neutral,0.6543045043945312,0.9999954700469972,Neutral, Neutral, Positive
2023-04-25T01:56:58+0000,"Only 10 carmakers will survive global EV battle, says Tesla rival Xpeng","...The world’s largest carmaker Toyota sold 10.5mn cars in 2022, while Tesla sold 1.3mn.

The warning comes at a historic juncture for the global car industry....",Neutral,0.9967328310012816,0.999624729156494,Neutral, Neutral,"

positive"
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-02-05T22:43:09+0000,Business class: Electric vehicles defy price war after Ford and Tesla discounts,"...is the most important element of the marketing mix for EV manufacturers such as Tesla and Ford

Peter McGinn, Harton Academy...",Negative,0.9938117265701294,0.9999986886978148,Neutral, Neutral, Neutral
2023-01-04T18:47:04+0000,Tesla’s Springfield Gorge trajectory,"...To illustrate, here’s a risk-reward chart from Tesla superfan Adam Jonas of Morgan Stanley and his underlying assumptions, Though Tesla continues to promise 50 per cent CAGR in the medium term after doing...",Neutral,0.999987244606018,0.8172547817230225,Neutral, positive, Neutral
2023-01-05T06:30:24+0000,Tesla shares are no longer insane Premium content,"...Tesla was wildly overpriced, and now its valuation is reverting to a more normal level.

Tesla’s enterprise value (its market capitalisation plus its net debt) in November 2021 was $1.2tn....",Neutral,0.999692678451538,0.6691346764564514,Neutral, Neutral,"

negative"
none,"Live news updates from April 19: Tesla margins narrow, UK inflations stays in double digits",none,Negative,0.9999611377716064,0.0,0, Neutral,"

The sentiment in the newsheadline is negative."
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-02-16T21:11:56+0000,"Tesla to recall nearly 363,000 cars over self-driving software flaw",...Tesla sold 1.3mn vehicles worldwide last year....,Neutral,0.9974149465560912,0.9999995231628418,Neutral, Neutral, Positive
2023-02-16T19:18:17+0000,Tesla workers claim they were fired in retaliation for union drive,...Tesla and Musk did not immediately respond to requests for comment....,Negative,0.5226849913597107,0.9999370574951172,Neutral, Neutral, negative
2023-05-17T09:35:23+0000,FirstFT: Ageing populations hit government credit ratings,...Tesla will “try a little advertising” says Elon Musk....,Negative,0.9962051510810852,0.9999607801437378,Neutral, Neutral, Neutral
2023-02-04T00:23:04+0000,Elon Musk wins investor lawsuit over Tesla ‘funding secured’ tweet,"...“When Elon tweets about Tesla, people listen,” Porritt said....",Neutral,0.6543045043945312,0.9999927282333374,Neutral, Neutral, Positive
2023-01-05T11:53:39+0000,"OK, 2022 was a disaster for Tesla. What next?","...He doesn’t have a position in Tesla’s stock.

Despite Tesla surrendering a good portion of its frothy gains in 2022, it is off to a poor start already in the new year....",Negative,0.9978252649307252,0.9999754428863524,Negative, negative,"

negative"
2023-01-25T21:41:09+0000,Tesla aims to build 1.8mn cars this year but warns of challenges ahead,...Earlier this month Tesla slashed prices for its vehicles....,Negative,0.9999663829803468,0.7764217257499695,Negative, Neutral, Neutral
2023-01-25T22:21:07+0000,Tesla aims to build 1.8mn cars this year but warns of challenges ahead,...Earlier this month Tesla slashed prices for its vehicles....,Negative,0.9999663829803468,0.7764217257499695,Negative, Neutral, Neutral
2023-02-05T11:00:20+0000,Electric vehicles defy price war after Ford and Tesla discounts,"...Ford sold 39,000 Mach-Es in 2022 — the best sales performance for any electric model not made by Tesla — but Tesla sold more than six times as many Model Ys....",Negative,0.9987309575080872,0.9999977350234984,Positive, Neutral, Positive
2023-01-23T20:14:16+0000,Elon Musk says he believed he had funding to take Tesla private,"...Elon Musk said he believed he had sufficient financial backing to take Tesla private, both from Saudi Arabia’s sovereign wealth fund and his own stake in SpaceX, as he testified at a trial in an investor...",Neutral,0.9997608065605164,0.9997548460960388,Neutral, positive, Positive
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-01-18T23:39:41+0000,"Musk made ‘split-second’ decision on Tesla tweet after FT story, lawyer says",...: “Am considering taking Tesla private at $420....,Neutral,0.9999470710754396,0.9999970197677612,Neutral, Neutral, Neutral
2023-02-28T17:53:59+0000,"Tesla to build electric car plant in Monterrey, says Mexico’s president","...“It’s good news, yes, the company Tesla is coming,” the populist president said in his morning news conference....",Neutral,0.9997636675834656,0.923576295375824,Positive, Neutral, Positive
2023-01-06T05:54:55+0000,Tesla cuts China prices again as demand sags and competition increases,...Tesla continues to be affected by demand concerns....,Negative,0.9987518787384032,0.9999933242797852,Negative, Neutral, Neutral
2023-01-26T16:23:47+0000,Tesla shares jump after Elon Musk signals ‘potential’ for 2mn car sales this year,...Tesla’s stock closed 11 per cent higher on Thursday....,Positive,0.9999839067459106,0.8768325448036194,Neutral, Positive, Positive
2023-01-18T19:58:11+0000,"Elon Musk made ‘split-second’ decision on Tesla tweet after FT story, lawyer says",...: “Am considering taking Tesla private at $420....,Neutral,0.9999563694000244,0.9999970197677612,Neutral, Neutral, Neutral
2023-05-30T12:56:17+0000,China calls for ‘stable’ ties with US in meeting with Elon Musk ,...Tesla’s China office declined to comment....,Neutral,0.9999301433563232,0.9864163398742676,Neutral, Positive,"

The sentiment in this newsheadline is negative because Tesla's China office has declined to comment."
2023-02-15T16:54:16+0000,Tesla to open up US charging network to other electric vehicles,"...Tesla’s charging network, the largest in the US, has been available to Tesla drivers only, but the company will allow any EV to use at least 7,500 chargers in its Supercharger and Destination network by...",Neutral,0.999962568283081,0.9999949932098388,Neutral, positive, Neutral
2023-01-26T05:16:51+0000,Tesla sees a bumpy road ahead,"...[MUSIC PLAYING]

Tesla reported record revenues of about $24bn for the quarter ending in December. That beat expectations by a hair....",Positive,0.9962933659553528,1.0,Positive, positive, Positive
2023-05-26T10:25:57+0000,FirstFT: Corporate bankruptcies rise as US credit squeeze tightens,"...Ford has struck a deal to give its drivers access to 12,000 fast-charging stations in Tesla’s network....",Negative,0.9991890788078308,0.999986171722412,Neutral, positive, Positive
2023-01-03T17:40:10+0000,Tesla stock continues to slide in worst one day performance since 2020,...Read more about Tesla’s recent struggles here....,Positive,0.992602288722992,0.9986866116523744,Negative, negative, Neutral
2023-01-03T17:40:10+0000,Tesla stock continues to slide in worst one day performance since 2020,...Read more about Tesla’s recent struggles here....,Positive,0.992602288722992,0.9986866116523744,Negative, negative, Neutral
2023-07-03T17:38:53+0000,US stocks edge higher after soft manufacturing data in shortened session,"...Tesla and Rivian were a bright spot among stocks, with the two electric vehicle makers reporting strong quarterly production numbers.

Read more on the day’s market moves here...",Positive,0.99992036819458,0.9999998807907104,Positive, Positive, Positive
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-01-03T21:28:31+0000,Tesla leads Wall Street lower in downbeat start to 2023,"...US stocks started 2023 on a downbeat note, pulled lower by companies including Tesla and Apple, drawing a contrast to the more optimistic new year’s performance across the Atlantic....",Negative,0.9975097179412842,0.9977846741676332,Negative, negative, Negative
2023-01-23T19:37:45+0000,Elon Musk says he believed he had funding to take Tesla private,...Musk and Tesla have already paid US regulators a total of $40mn over the tweet....,Neutral,0.9997608065605164,0.9999964237213136,Neutral, Neutral, Neutral
2023-06-09T21:01:23+0000,US stocks edge higher in thin trading ahead of Fed decision next week,"...The tech-heavy Nasdaq Composite gained 0.2 per cent, buoyed by expectations for a pause in interest rate rises, as well as a 4.1 per cent jump in the shares of Tesla....",Positive,0.9999252557754515,1.0,Positive, positive, Positive
2023-01-09T13:00:08+0000,Tesla owners in China protest against price cuts,...Tesla declined to comment on the protests....,Negative,0.5426148772239685,0.97383713722229,Neutral, negative, negative
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-02-16T11:36:54+0000,Renault chief warns Tesla price cuts damage confidence in electric cars,"...“I hope that they [Tesla] continue to reduce to zero, but we will continue to protect the value of our electric vehicles,” he said....",Negative,0.9999991655349731,0.9602707028388976,Positive, Neutral, Neutral
2023-01-09T08:45:36+0000,The Cult of Musk is creaking,"...As recently as December he was declaring a “peace” with Musk after suggesting he should step down, and insisting that “Tesla is so cheap, I buy buy buy Tesla Tesla Tesla”....",Neutral,0.9982852339744568,0.9908595681190492,Neutral, negative, Neutral
2023-01-18T19:53:15+0000,"Elon Musk made ‘split-second’ decision on Tesla tweet after FT report, lawyer says",...: “Am considering taking Tesla private at $420....,Neutral,0.9999514818191528,0.9999970197677612,Neutral, Neutral, Neutral
2022-12-15T07:35:31+0000,Elon Musk sells another $3.6bn of Tesla stock,"...Elon Musk has offloaded another tranche of Tesla stock, worth almost $3.6bn, in what is the fourth sell-off since announcing his take over of Twitter....",Neutral,0.9998371601104736,0.6002575159072876,Neutral, positive, Positive
2023-01-18T00:31:31+0000,Elon Musk’s Tesla ‘funding secured’ trial to begin after jury selected,...Shareholders allege the posts ultimately caused them significant financial losses as Tesla shares whipsawed in response....,Neutral,0.9999899864196776,0.999994158744812,Negative, positive, negative
2023-01-03T21:04:04+0000,Head of Saudi Arabia wealth fund subpoenaed in case over Elon Musk’s Tesla tweet,"...He and Tesla each paid $20mn to settle legal action from the US Securities and Exchange Commission. Musk also had to resign as Tesla chair, although he kept his position as chief executive....",Neutral,0.9996464252471924,0.998672604560852,Neutral, Neutral, Positive
2023-01-03T22:50:00+0000,Tesla leads Wall Street lower in downbeat start to 2023,"...US stocks started 2023 on a downbeat note, pulled lower by companies including Tesla and Apple, drawing a contrast to the more optimistic new year’s performance across the Atlantic....",Negative,0.9975097179412842,0.9977846741676332,Negative, negative, Negative
2023-01-11T17:20:41+0000,Tesla’s Cybertruck may spell the end of Big Tech minimalism — if it ever gets here,...The sharp drop in Tesla’s share price ratchets up the pressure....,Neutral,0.9526958465576172,0.9960636496543884,Negative, Neutral,"

positive"
2023-05-25T04:25:55+0000,Tech funds: Cathie Wood can’t fight the Fed,"...She says electric-car company Tesla, which has a $573bn market cap, could be a $6tn company in the next four years. True, demand for Tesla vehicles is rising....",Neutral,0.9970581531524658,0.9999662637710572,Positive, positive, Positive
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2023-01-20T23:54:21+0000,Elon Musk plays down influence of his tweets on Tesla’s share price,"...No deal ever materialised, prompting shareholders to sue Musk, Tesla and the company’s board of directors at the time....",Neutral,0.9999772310256958,0.9996950626373292,Neutral, Neutral, negative
2022-12-30T05:00:06+0000,Musk breaks the spell he had woven around Tesla,"...For much of this year, as other growth stocks collapsed, Tesla appeared to defy gravity....",Neutral,0.9998883008956908,0.9998188614845276,Negative, positive, Positive
2023-03-07T06:30:10+0000,FTAV’s Further Reading,"...(Capital Flows and Asset Markets)

— Tesla’s investor day was “kind of a dud”, “disjointed”, “underwhelming” and “short on details about both cars and finances”....",Neutral,0.999839186668396,0.9999971389770508,Neutral, Neutral, negative
2023-01-13T11:23:27+0000,Tesla cuts electric car prices across Europe and US to bolster demand,"...“It risks people losing confidence in Tesla.”

The cuts come after a year when Tesla’s sales rose 40 per cent to 1.3mn globally....",Positive,0.9999998807907104,0.9968898892402648,Negative, Neutral, Negative
2023-04-03T10:03:16+0000,FirstFT: Oil prices surge,"...Tesla rolled out a record number of cars in the first quarter, the company announced yesterday, following Elon Musk’s decision to cut prices of his electric vehicles....",Positive,0.9999966621398926,0.936394214630127,Positive, positive, Positive
2022-12-15T18:28:49+0000,Tesla/Twitter: damage ripples across the Musk multiverse Premium content,"...Tesla allows executives to borrow against a quarter of the value of their stock. Musk had done so against 270mn shares.

Is Musk facing margin calls amid the collapse in Tesla’s share price?...",Negative,0.9995657801628112,0.9960305094718932,Negative, Neutral, Neutral
2023-01-12T18:30:27+0000,Baillie Gifford admits ‘humbling year’ after $14bn loss on Tesla and Shopify,...More than $8bn of losses on Tesla and $6bn on Shopify made these two of Baillie Gifford’s worst-performing holdings....,Neutral,0.9876326322555542,0.9999964237213136,Negative, Neutral, negative
2023-06-08T07:45:00+0000,Panasonic’s gigafactory expansion and south-east Asia’s funding chill Premium content,"...That’s enough to power around 500,000 to 700,000 Tesla Model 3s....",Neutral,0.89310622215271,0.9999433755874634,Neutral, Neutral, Positive
2023-01-04T05:14:40+0000,Apple and Tesla start 2023 on the wrong foot,"...Tesla said it delivered 15,000 fewer new vehicles than Wall Street had pencilled in. Tesla struggled a lot with production in 2022....",Neutral,0.6021963357925415,0.9998910427093506,Negative, negative, negative
2023-04-20T10:23:17+0000,FirstFT: Pressure on US regional banks eases,...Elon Musk indicated he was willing to sacrifice Tesla’s short-term profits in an aggressive push for market share....,Negative,0.9204304218292236,0.9383129477500916,Negative, Neutral, Neutral
2023-07-02T05:34:33+0000,Poppy production almost disappears from Afghanistan’s Helmand province,"...However, luxury EVs such as Lucid Air have since eclipsed the long-distance capabilities of Tesla’s cars....",Neutral,0.9918013215065002,0.998818576335907,Positive, negative, Positive
none,"Live news updates from February 28: Tesla to build Mexico factory, Goldman explores sale of fintech business",none,Neutral,0.9999630451202391,0.0,0, Neutral,"

The sentiment in the newsheadline is negative."
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
2022-12-15T08:29:54+0000,Elon Musk offloads another $3.6bn of Tesla stock,"...“Elon abandoned Tesla and Tesla has no working CEO,” wrote Leo KoGuan, a major Tesla shareholder, on Twitter.

“Are we merely Elon’s foolish bag holders?” he added in another post....",Neutral,0.9992696642875672,0.999908685684204,Neutral, Neutral, Neutral
2022-12-05T16:14:04+0000,Trucks: Tesla Semi pulls ahead as start-up rivals crash Premium content,"...UPS and Walmart have put in orders of their own for Tesla’s Semi.

Efficiency lowers costs. Tesla boss Elon Musk says the Semi’s efficiency is 1.7kWh per mile....",Positive,0.9999891519546508,0.9997110962867736,Positive, positive, Neutral
2023-05-17T22:55:50+0000,Risers and fallers in the US,"...Share price moves to note on the New York Stock Exchange include WeWork, Tesla, and Amazon:

WeWork shares plunged 15.2 per cent to 30 cents, after the co-working space provider announced its chief executive...",Neutral,0.9997441172599792,0.9998704195022584,Negative, positive, Negative
2023-05-17T17:56:47+0000,Risers and fallers in the US,"...Share price moves to note on the New York Stock Exchange include WeWork, Tesla, and Amazon:

WeWork shares plunged 15.2 per cent to 30 cents, after the co-working space provider announced its chief executive...",Neutral,0.9997441172599792,0.9998704195022584,Negative, positive, Negative
none,none,none,0,0.0,0.0,0,"

The sentiment in the newsheadline is negative.","

The sentiment in the newsheadline is negative."
